Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HORVU.MOREX.r3.2HG0111820,613.3074051947082,5.466674625148782,0.5467236247874072,9.998972748387253,1.5398606554101578e-23,2.218461316656427e-21
HORVU.MOREX.r3.2HG0111830,6.143582066179479,-0.9776679689073613,2.877526703525769,-0.33975982489039863,0.7340374050194989,
HORVU.MOREX.r3.2HG0111920,11.679616200149255,-0.7472983287048134,2.234781485394187,-0.33439436185994686,0.7380819933739806,
HORVU.MOREX.r3.2HG0111960,16.21852034861871,-0.40977699579375343,1.8666631932897428,-0.2195237990799918,0.8262420429735439,0.9540632227025403
HORVU.MOREX.r3.2HG0111990,163.39164335645725,0.4144877009252917,0.6748674304442301,0.6141764770785515,0.5390987157554072,0.8339736867263136
HORVU.MOREX.r3.2HG0112030,927.2496391284362,-0.4428455880622994,0.37943101800919965,-1.1671306958134937,0.24315759333503106,0.5864432694171658
HORVU.MOREX.r3.2HG0112060,189.05399834478416,0.4795449804905248,0.6167253513841375,0.7775665122477385,0.4368246093975754,0.7697384850930559
HORVU.MOREX.r3.2HG0112070,5.122653858889419,0.24159397772732324,3.6139214500739785,0.06685092110188995,0.9467003848664355,
HORVU.MOREX.r3.2HG0112150,489.05783075842356,-1.3294269993081245,0.49368363924721376,-2.692872304488927,0.007083939493811743,0.0494843328117192
HORVU.MOREX.r3.2HG0112160,25.91995679308509,-0.12471465117286808,1.5050046833198665,-0.08286661998802686,0.9339575961146995,0.9842474336682098
HORVU.MOREX.r3.2HG0112170,688.7109289460418,-0.18753296823063162,0.407107091005245,-0.46064775675502917,0.645051342575382,0.8860394382269828
HORVU.MOREX.r3.2HG0112180,21.267971932164514,7.245040665918248,3.7805704817006838,1.9163882014597642,0.05531570148154131,0.2313403411310106
HORVU.MOREX.r3.2HG0112220,166.4641373489815,0.2714332051065408,0.6483388751540892,0.4186594626799602,0.6754650256278836,0.9011416790426935
HORVU.MOREX.r3.2HG0112230,180.40763441939978,-0.2934752509478355,0.8604679746609237,-0.34106469919869176,0.7330548755573737,0.9235441447655355
HORVU.MOREX.r3.2HG0112290,44.207252367166255,0.9402914911939848,1.326414914008273,0.7088969531807602,0.47838842598348774,0.7982702382602942
HORVU.MOREX.r3.2HG0112380,1297.5038289551844,-0.5243772805883165,0.4910461330404551,-1.0678778332729797,0.28557562275601156,0.6375297241992733
HORVU.MOREX.r3.2HG0112410,674.3347370537618,3.1566062154877286,0.48103784789909293,6.562074542105237,5.3064275350533735e-11,2.2622708409645913e-09
HORVU.MOREX.r3.2HG0112440,1169.6105878475273,1.9913372401801839,0.3708048460009969,5.37031072181519,7.860109316245096e-08,2.0146955044952154e-06
HORVU.MOREX.r3.2HG0112520,6.1601056383183135,5.458022533742278,4.4966054155094755,1.2138095361707142,0.2248204639461534,
HORVU.MOREX.r3.2HG0112580,112.63584494460609,4.366524609078672,1.0621276973396192,4.1111107638147395,3.937602359895578e-05,0.0005767998263725188
HORVU.MOREX.r3.2HG0112600,6.857019392620707,5.612083064789412,4.419738647583506,1.2697771321518798,0.20416402862372118,
HORVU.MOREX.r3.2HG0112610,66.89478263684666,3.0501926813409104,1.087707476131292,2.804239879080077,0.005043536592633329,0.037494476661960936
HORVU.MOREX.r3.2HG0112630,57.947364915363494,5.2306297894368665,1.543600793682736,3.388589725299107,0.0007025303993332663,0.007229487705454154
HORVU.MOREX.r3.2HG0112640,311.1990816802327,3.5256410787486714,0.7633477913579554,4.618656290963706,3.862330098598696e-06,7.351624215009272e-05
HORVU.MOREX.r3.2HG0112720,310.69625198197195,1.1971930212245265,0.5627763662412013,2.1272979695658,0.033395333363503275,0.1618627642606922
